,Left,Right
0,"[0.38047266006469727, 0.5981659293174744, 5.213622671362828e-07, 0.4229812026023865, 0.5214966535568237, -0.04905480518937111, 0.4775276184082031, 0.5113151669502258, -0.07631087303161621, 0.5188513994216919, 0.5551957488059998, -0.0917564108967781, 0.5385027527809143, 0.6134258508682251, -0.10632836818695068, 0.47461897134780884, 0.6413154006004333, -0.08860941231250763, 0.5310977101325989, 0.6976779699325562, -0.12255281955003738, 0.5752712488174438, 0.7432568073272705, -0.1438143104314804, 0.6074114441871643, 0.7816962599754333, -0.15610338747501373, 0.4696020483970642, 0.6997769474983215, -0.07248248159885406, 0.5315108299255371, 0.7612220644950867, -0.10470258444547653, 0.5806916356086731, 0.8044570684432983, -0.1213407814502716, 0.6170840859413147, 0.8437293767929077, -0.13130539655685425, 0.46302953362464905, 0.7340145707130432, -0.05664457753300667, 0.520515501499176, 0.7814812660217285, -0.08301261812448502, 0.5650067329406738, 0.8141731023788452, -0.09320733696222305, 0.5949094891548157, 0.844605565071106, -0.0975145623087883, 0.4547777473926544, 0.7440558075904846, -0.04312722384929657, 0.4990558624267578, 0.778835117816925, -0.06255487352609634, 0.5304192304611206, 0.800528347492218, -0.0686454325914383, 0.5539146661758423, 0.8202856779098511, -0.0708976686000824]",[]
1,"[0.3842306435108185, 0.6059063673019409, 2.9993987027410185e-07, 0.42534521222114563, 0.539501428604126, -0.02918197587132454, 0.4736905097961426, 0.5199609994888306, -0.04517875984311104, 0.5120574235916138, 0.5470406413078308, -0.05527934804558754, 0.5310191512107849, 0.5951699614524841, -0.06439326703548431, 0.48106035590171814, 0.6243042945861816, -0.04066886752843857, 0.5247660279273987, 0.6547490954399109, -0.060199420899152756, 0.5556548237800598, 0.6779347062110901, -0.07334551215171814, 0.5788224339485168, 0.6977783441543579, -0.08125647902488708, 0.476974219083786, 0.6824538111686707, -0.033638373017311096, 0.5298988819122314, 0.7267764210700989, -0.05105594918131828, 0.5690018534660339, 0.7545396685600281, -0.06232721358537674, 0.5982094407081604, 0.7764163613319397, -0.06974200159311295, 0.4694341719150543, 0.7205069065093994, -0.02822493575513363, 0.5163938999176025, 0.7623677849769592, -0.044445231556892395, 0.55281662940979, 0.7891409993171692, -0.052794139832258224, 0.5810177326202393, 0.8119099140167236, -0.05702343210577965, 0.4591223895549774, 0.7420797944068909, -0.02428974211215973, 0.49619415402412415, 0.7763526439666748, -0.03641936182975769, 0.5233514308929443, 0.7948272228240967, -0.040251120924949646, 0.5454080700874329, 0.8090565204620361, -0.04174506291747093]",[]
2,[],"[0.3863610625267029, 0.47022902965545654, 5.31519845026196e-07, 0.4395538866519928, 0.4311438202857971, -0.021304437890648842, 0.49742984771728516, 0.4579094648361206, -0.035535819828510284, 0.5308566093444824, 0.5086917877197266, -0.04867858812212944, 0.542751669883728, 0.5662316679954529, -0.06225938722491264, 0.5163218379020691, 0.6062799692153931, -0.02816023677587509, 0.5621469020843506, 0.6855385303497314, -0.05489964410662651, 0.5979872345924377, 0.741365373134613, -0.07579019665718079, 0.6253904700279236, 0.7880701422691345, -0.09019573777914047, 0.5018837451934814, 0.6352797746658325, -0.03401309996843338, 0.5512866973876953, 0.7149467468261719, -0.05974815413355827, 0.5914472937583923, 0.7675048112869263, -0.0788058340549469, 0.6255980730056763, 0.8139651417732239, -0.09123864769935608, 0.47929584980010986, 0.6471653580665588, -0.04264724627137184, 0.5264230370521545, 0.7117434740066528, -0.0681830421090126, 0.5625295042991638, 0.7485048770904541, -0.0814783126115799, 0.5936489105224609, 0.7792907953262329, -0.08884844928979874, 0.44923070073127747, 0.6425690650939941, -0.05318663641810417, 0.4828163981437683, 0.6967781186103821, -0.07527513802051544, 0.5082921981811523, 0.7251914739608765, -0.08320352435112, 0.5322849750518799, 0.7463817596435547, -0.08739767968654633]"
3,"[0.3395020067691803, 0.49281635880470276, 5.614046472146583e-07, 0.39120349287986755, 0.43497538566589355, -0.054416753351688385, 0.44732967019081116, 0.44864389300346375, -0.084744893014431, 0.484382688999176, 0.49977368116378784, -0.1044887900352478, 0.5039459466934204, 0.5494207143783569, -0.12467176467180252, 0.455127477645874, 0.607513427734375, -0.08693940937519073, 0.514034628868103, 0.680469810962677, -0.12563678622245789, 0.5652098059654236, 0.7306196689605713, -0.1529189795255661, 0.6053148508071899, 0.7689931392669678, -0.17116613686084747, 0.4521501660346985, 0.642758846282959, -0.07397126406431198, 0.5186305046081543, 0.7149994969367981, -0.11702636629343033, 0.5754305124282837, 0.760111927986145, -0.14614230394363403, 0.6186879873275757, 0.7953165769577026, -0.164365753531456, 0.44506922364234924, 0.6555529236793518, -0.06229977309703827, 0.5129977464675903, 0.7144755125045776, -0.10126328468322754, 0.5682733058929443, 0.7457074522972107, -0.1243663877248764, 0.6082212924957275, 0.7689602375030518, -0.13698439300060272, 0.4349643588066101, 0.6460004448890686, -0.0531313456594944, 0.4889352321624756, 0.6674658060073853, -0.08693297952413559, 0.5303075313568115, 0.6801146268844604, -0.10401702672243118, 0.5636109113693237, 0.6922982931137085, -0.1133447140455246]",[]
4,[],"[0.3859378695487976, 0.47457706928253174, 5.27860322563356e-07, 0.4399028420448303, 0.43433937430381775, -0.022466903552412987, 0.4977322518825531, 0.4596925973892212, -0.04051438719034195, 0.5321218371391296, 0.5139577388763428, -0.05627407878637314, 0.5446804165840149, 0.5797770023345947, -0.07379215210676193, 0.5048825740814209, 0.6029393672943115, -0.044886939227581024, 0.5529064536094666, 0.6776852011680603, -0.07778651267290115, 0.5937077403068542, 0.7315816283226013, -0.1015978679060936, 0.6244604587554932, 0.773885190486908, -0.11761403828859329, 0.49359646439552307, 0.6359161734580994, -0.05109798535704613, 0.545650064945221, 0.7179131507873535, -0.08470134437084198, 0.5908902883529663, 0.7718738317489624, -0.10807110369205475, 0.6279104948043823, 0.8151699900627136, -0.12343922257423401, 0.4751553535461426, 0.6498931646347046, -0.05878182128071785, 0.5276203155517578, 0.7210450768470764, -0.09042288362979889, 0.5699699521064758, 0.7636850476264954, -0.10828302800655365, 0.6039634346961975, 0.7969026565551758, -0.11890225857496262, 0.45000171661376953, 0.6449336409568787, -0.06749685853719711, 0.48619383573532104, 0.6982260942459106, -0.09363222122192383, 0.5152233839035034, 0.730491578578949, -0.10514650493860245, 0.540129542350769, 0.7546511888504028, -0.11257150769233704]"
5,[],"[0.3481985628604889, 0.49957531690597534, 4.971846578882833e-07, 0.3988652527332306, 0.43111419677734375, -0.048698440194129944, 0.46244528889656067, 0.43707382678985596, -0.07654019445180893, 0.5040456056594849, 0.49288517236709595, -0.09634637832641602, 0.523891270160675, 0.556543231010437, -0.11629756540060043, 0.4772631525993347, 0.5791048407554626, -0.07630390673875809, 0.5352610945701599, 0.6542657613754272, -0.11513805389404297, 0.5785905122756958, 0.7107607126235962, -0.14100666344165802, 0.6099703907966614, 0.755730390548706, -0.15752196311950684, 0.4705304801464081, 0.6292330622673035, -0.06891760230064392, 0.5314420461654663, 0.7144063115119934, -0.1074078306555748, 0.58050537109375, 0.7692340016365051, -0.1310192495584488, 0.6205213069915771, 0.8141223192214966, -0.1455305963754654, 0.4571816027164459, 0.6587370038032532, -0.06446631997823715, 0.520776093006134, 0.7254824638366699, -0.09874359518289566, 0.5670971870422363, 0.765903651714325, -0.1174888089299202, 0.6033532023429871, 0.7964712381362915, -0.12805689871311188, 0.4375426173210144, 0.6675226092338562, -0.06312886625528336, 0.4849715828895569, 0.711899995803833, -0.09206031262874603, 0.5198714733123779, 0.7359503507614136, -0.10593773424625397, 0.5485811233520508, 0.7524898052215576, -0.11395519226789474]"
6,[],"[0.3748616874217987, 0.4831939935684204, 2.3510028768214397e-07, 0.4318806231021881, 0.43528756499290466, -0.01733832061290741, 0.49306419491767883, 0.4536256492137909, -0.02942623570561409, 0.5349516272544861, 0.5080525279045105, -0.04018180072307587, 0.5546661019325256, 0.5734215378761292, -0.05109028518199921, 0.4909729063510895, 0.5689794421195984, -0.02082349732518196, 0.5291707515716553, 0.6095680594444275, -0.04658565670251846, 0.5512527227401733, 0.6208343505859375, -0.06737006455659866, 0.5641801357269287, 0.6307951807975769, -0.08024007081985474, 0.4860042631626129, 0.6222859025001526, -0.025138525292277336, 0.5375174880027771, 0.6919622421264648, -0.046377282589673996, 0.5817062258720398, 0.7327845692634583, -0.06345012784004211, 0.6163911819458008, 0.7662001252174377, -0.07585325837135315, 0.47438186407089233, 0.6527662873268127, -0.03268058970570564, 0.5287352204322815, 0.7212457060813904, -0.05515372380614281, 0.5742518901824951, 0.762885332107544, -0.07094943523406982, 0.6109858751296997, 0.7944331169128418, -0.0808204710483551, 0.4576528072357178, 0.6635128855705261, -0.04090619087219238, 0.49902352690696716, 0.7173267006874084, -0.058985162526369095, 0.5327810049057007, 0.7483782768249512, -0.06775429099798203, 0.5627901554107666, 0.7701660394668579, -0.07395079731941223]"
7,"[0.3913494944572449, 0.5210133194923401, 4.7365222144435393e-07, 0.451476126909256, 0.4576530456542969, -0.025955205783247948, 0.5168749690055847, 0.4723238945007324, -0.04389248415827751, 0.5607206225395203, 0.5326029062271118, -0.055629219859838486, 0.5761736035346985, 0.6058595776557922, -0.0675681084394455, 0.49744004011154175, 0.5930125713348389, -0.06153020262718201, 0.5546112060546875, 0.6624656319618225, -0.08928217738866806, 0.5943285822868347, 0.7149928212165833, -0.10553108155727386, 0.625584065914154, 0.7554776072502136, -0.11439795047044754, 0.48945534229278564, 0.6404474973678589, -0.055640242993831635, 0.548149049282074, 0.7068867683410645, -0.08337382227182388, 0.5977662801742554, 0.7550005316734314, -0.09745729714632034, 0.6356379985809326, 0.793084979057312, -0.10645356774330139, 0.4818069636821747, 0.6681217551231384, -0.049360357224941254, 0.5394600629806519, 0.727276623249054, -0.07469610124826431, 0.5872617363929749, 0.7642877101898193, -0.08783385902643204, 0.6218180656433105, 0.7921469211578369, -0.09402640163898468, 0.4774661064147949, 0.6811017990112305, -0.043264005333185196, 0.5264918208122253, 0.7313541769981384, -0.061640746891498566, 0.5638086199760437, 0.7618638277053833, -0.07103227078914642, 0.592868983745575, 0.7824068069458008, -0.0768078863620758]",[]
8,"[0.40625259280204773, 0.5307196378707886, 5.901732720303698e-07, 0.44201797246932983, 0.471346378326416, -0.054061394184827805, 0.4877643287181854, 0.46964195370674133, -0.09107210487127304, 0.5211043953895569, 0.5077279806137085, -0.1183679923415184, 0.5459492206573486, 0.5598340034484863, -0.14593423902988434, 0.49820083379745483, 0.6153250932693481, -0.10058730095624924, 0.5508137345314026, 0.6876341104507446, -0.14569449424743652, 0.5926160216331482, 0.7377488017082214, -0.17478124797344208, 0.626217246055603, 0.7757463455200195, -0.19373157620429993, 0.49366459250450134, 0.6577704548835754, -0.09214064478874207, 0.5519770383834839, 0.7356541156768799, -0.13992799818515778, 0.5992748141288757, 0.7830761671066284, -0.168161079287529, 0.6394515037536621, 0.8212361335754395, -0.18626508116722107, 0.48315978050231934, 0.6768488883972168, -0.08497487753629684, 0.5362172722816467, 0.7426129579544067, -0.1264788806438446, 0.5769819021224976, 0.7795305848121643, -0.14643245935440063, 0.6112372875213623, 0.8070979714393616, -0.15781095623970032, 0.46849173307418823, 0.6738433241844177, -0.08050258457660675, 0.5012873411178589, 0.7239384651184082, -0.11452136188745499, 0.5289804339408875, 0.7501153945922852, -0.1298210322856903, 0.5543307065963745, 0.7660388946533203, -0.1389857977628708]",[]
9,[],"[0.35920748114585876, 0.49732229113578796, 3.932722449917492e-07, 0.4132075905799866, 0.4401817321777344, -0.03235039860010147, 0.474701851606369, 0.4577580392360687, -0.0504898801445961, 0.5109223127365112, 0.5157666206359863, -0.06444215029478073, 0.5246754884719849, 0.5693846940994263, -0.07913150638341904, 0.4891774654388428, 0.6038520932197571, -0.04746478423476219, 0.5400084853172302, 0.679358959197998, -0.07840058952569962, 0.5834375023841858, 0.7343153357505798, -0.10175450891256332, 0.617761492729187, 0.7770892381668091, -0.1179506704211235, 0.4803164601325989, 0.6435930132865906, -0.0473104864358902, 0.5363860130310059, 0.722119152545929, -0.07940926402807236, 0.5845987796783447, 0.7748189568519592, -0.10174539685249329, 0.6237014532089233, 0.8149510622024536, -0.11569087207317352, 0.46541184186935425, 0.6647565364837646, -0.04965456575155258, 0.5219950675964355, 0.7361642122268677, -0.07998157292604446, 0.5670802593231201, 0.7803389430046082, -0.09671596437692642, 0.6032999157905579, 0.8121131062507629, -0.10577801614999771, 0.4436523914337158, 0.6673687696456909, -0.05428856611251831, 0.48603639006614685, 0.7256988883018494, -0.08080752193927765, 0.5185279250144958, 0.7585929036140442, -0.09254307299852371, 0.5468522906303406, 0.7826830148696899, -0.09885885566473007]"
