,Left,Right
0,[],"[0.4017953872680664, 0.4215729236602783, 5.021499305257748e-07, 0.4139271676540375, 0.46928900480270386, -0.03876145929098129, 0.44876283407211304, 0.5171512365341187, -0.05556999519467354, 0.48279252648353577, 0.5727416276931763, -0.06420135498046875, 0.5016990900039673, 0.6318928003311157, -0.06946524977684021, 0.5032675266265869, 0.38036417961120605, -0.047423265874385834, 0.5266075730323792, 0.5058115124702454, -0.06944718211889267, 0.5198259949684143, 0.5852953195571899, -0.08307909220457077, 0.5095533132553101, 0.6414156556129456, -0.091223806142807, 0.5218509435653687, 0.3941970467567444, -0.03387432545423508, 0.5475050210952759, 0.5207404494285583, -0.05724673345685005, 0.5349871516227722, 0.6004248857498169, -0.06750501692295074, 0.519550621509552, 0.6542021632194519, -0.07202933728694916, 0.5300913453102112, 0.42468807101249695, -0.022541997954249382, 0.5535043478012085, 0.5354490876197815, -0.04503515362739563, 0.5397082567214966, 0.6011794805526733, -0.05066622048616409, 0.5243818759918213, 0.6462552547454834, -0.050882428884506226, 0.532140851020813, 0.4602917432785034, -0.013821828179061413, 0.546158492565155, 0.5406807661056519, -0.033287033438682556, 0.5344229936599731, 0.5898385047912598, -0.03826412186026573, 0.5213083028793335, 0.6268271207809448, -0.03790731728076935]"
1,[],"[0.41155481338500977, 0.39835408329963684, 5.94798109432304e-07, 0.39859384298324585, 0.4665018320083618, -0.04059954732656479, 0.4205470085144043, 0.5298661589622498, -0.06280258297920227, 0.4523785710334778, 0.588902473449707, -0.07517877966165543, 0.4709138870239258, 0.6549742817878723, -0.08516518026590347, 0.47240301966667175, 0.4113791584968567, -0.07483681291341782, 0.4852901101112366, 0.5360893607139587, -0.10392021387815475, 0.4795478284358978, 0.6122362017631531, -0.11662228405475616, 0.47238245606422424, 0.6645059585571289, -0.12271689623594284, 0.5038377046585083, 0.4069858193397522, -0.061147209256887436, 0.5183166861534119, 0.5435770750045776, -0.09006359428167343, 0.5036550164222717, 0.6219000816345215, -0.09715880453586578, 0.4884442090988159, 0.6720781326293945, -0.09994123131036758, 0.5220089554786682, 0.4274665117263794, -0.048446401953697205, 0.53559410572052, 0.5521681904792786, -0.07307000458240509, 0.5197672247886658, 0.6207232475280762, -0.07674086838960648, 0.5029452443122864, 0.6652228832244873, -0.07670829445123672, 0.5324974060058594, 0.46200883388519287, -0.03805826976895332, 0.5370818972587585, 0.5532867312431335, -0.057118866592645645, 0.5229875445365906, 0.6056469082832336, -0.06254822760820389, 0.5082657337188721, 0.6416500806808472, -0.06408407539129257]"
2,[],"[0.40226665139198303, 0.40866029262542725, 4.112353337859531e-07, 0.3859928250312805, 0.4728946089744568, -0.03726963326334953, 0.40274491906166077, 0.5435627102851868, -0.057891372591257095, 0.43442216515541077, 0.6097697019577026, -0.06953240185976028, 0.45293447375297546, 0.6762300729751587, -0.07910915464162827, 0.4586336612701416, 0.4438837766647339, -0.0675412267446518, 0.47125399112701416, 0.5423129796981812, -0.09185750037431717, 0.4671259820461273, 0.6160967350006104, -0.10236918181180954, 0.45917731523513794, 0.6656072735786438, -0.107459157705307, 0.4942677915096283, 0.44054150581359863, -0.05450263246893883, 0.5082980990409851, 0.5595629811286926, -0.07620204240083694, 0.4962257742881775, 0.6373989582061768, -0.08105943351984024, 0.48223236203193665, 0.6843856573104858, -0.08387567847967148, 0.5131371021270752, 0.45790594816207886, -0.04248284921050072, 0.5276476144790649, 0.5679193735122681, -0.06264293938875198, 0.5140913724899292, 0.6368348598480225, -0.06737995892763138, 0.4977313280105591, 0.6792794466018677, -0.06937257945537567, 0.5211524963378906, 0.48592057824134827, -0.032421909272670746, 0.5345959663391113, 0.5631136298179626, -0.04898810759186745, 0.5235993266105652, 0.6146869659423828, -0.054998040199279785, 0.5075836777687073, 0.6482616662979126, -0.057905297726392746]"
3,[],"[0.41660818457603455, 0.45291364192962646, 2.414689390661806e-07, 0.4079943895339966, 0.5156225562095642, -0.01878746598958969, 0.43149372935295105, 0.5900633335113525, -0.027286546304821968, 0.45840373635292053, 0.6513956785202026, -0.0314888134598732, 0.47160518169403076, 0.7047325372695923, -0.03399333730340004, 0.48425525426864624, 0.526818573474884, -0.02971215359866619, 0.5020312070846558, 0.6265559792518616, -0.04160122945904732, 0.4919259250164032, 0.6780231595039368, -0.04549465700984001, 0.4787176549434662, 0.7002875208854675, -0.04582560062408447, 0.5095586776733398, 0.511467695236206, -0.022354470565915108, 0.5283152461051941, 0.6204472184181213, -0.030801797285676003, 0.5153864026069641, 0.6722958087921143, -0.032838549464941025, 0.5018925666809082, 0.6965813636779785, -0.03366146236658096, 0.5233983993530273, 0.5072077512741089, -0.015926925465464592, 0.5443169474601746, 0.6086834073066711, -0.023128340020775795, 0.5336138606071472, 0.6587453484535217, -0.025542380288243294, 0.5219382643699646, 0.6864338517189026, -0.026838108897209167, 0.5299175977706909, 0.510646641254425, -0.010318966582417488, 0.5541272163391113, 0.5794346928596497, -0.014968108385801315, 0.5497748255729675, 0.6230308413505554, -0.015989717096090317, 0.5392593741416931, 0.6494234204292297, -0.016228128224611282]"
4,[],"[0.39616233110427856, 0.4334656596183777, 4.409858433973568e-07, 0.38323262333869934, 0.4992816746234894, -0.03190877288579941, 0.40513014793395996, 0.5718258023262024, -0.046362366527318954, 0.4332508444786072, 0.6299660801887512, -0.0529303103685379, 0.4500831067562103, 0.6875848174095154, -0.05751481652259827, 0.4592475891113281, 0.4857913553714752, -0.04958038404583931, 0.47266530990600586, 0.5795258283615112, -0.06845679134130478, 0.46706947684288025, 0.6463567614555359, -0.07721220701932907, 0.4563363790512085, 0.6901801824569702, -0.08089987933635712, 0.4862397015094757, 0.47612589597702026, -0.03627670183777809, 0.5046238303184509, 0.5891585350036621, -0.05377020314335823, 0.49562451243400574, 0.6590456962585449, -0.05890268459916115, 0.48409029841423035, 0.7050747871398926, -0.06093587726354599, 0.5008383989334106, 0.48318296670913696, -0.02422896772623062, 0.5185836553573608, 0.5890167951583862, -0.04083690047264099, 0.5066234469413757, 0.651785671710968, -0.04525445029139519, 0.4930779039859772, 0.6936532855033875, -0.04617581143975258, 0.5064981579780579, 0.49828848242759705, -0.0137636698782444, 0.5201043486595154, 0.5802870392799377, -0.027446947991847992, 0.5102968215942383, 0.632634699344635, -0.03208427503705025, 0.4971849024295807, 0.6672137379646301, -0.03341441974043846]"
5,[],"[0.4053013324737549, 0.4525259733200073, 3.5489432548274635e-07, 0.39792758226394653, 0.5154093503952026, -0.027286658063530922, 0.4218955338001251, 0.5920001864433289, -0.03937176987528801, 0.4494110941886902, 0.6562684774398804, -0.04461031034588814, 0.4662013351917267, 0.7077069878578186, -0.04791376739740372, 0.47438734769821167, 0.5146898031234741, -0.04431675374507904, 0.4908769726753235, 0.6209991574287415, -0.059535104781389236, 0.48455366492271423, 0.6842452883720398, -0.06560240685939789, 0.4738385081291199, 0.7226923704147339, -0.0677030012011528, 0.5011975765228271, 0.500568687915802, -0.03297126665711403, 0.5228989124298096, 0.6176265478134155, -0.046353526413440704, 0.5127881765365601, 0.6811214089393616, -0.04920487105846405, 0.49827685952186584, 0.7192082405090332, -0.050164852291345596, 0.5159835815429688, 0.5015117526054382, -0.022422226145863533, 0.5397300124168396, 0.6085754632949829, -0.0337253101170063, 0.5305222272872925, 0.6708167791366577, -0.0370117612183094, 0.5169275999069214, 0.7111526727676392, -0.03836779296398163, 0.5225992202758789, 0.5122469067573547, -0.013315769843757153, 0.5440763831138611, 0.5918653607368469, -0.022608676925301552, 0.5388015508651733, 0.6470999121665955, -0.026135209947824478, 0.5274684429168701, 0.6842427849769592, -0.027564970776438713]"
6,[],"[0.43573975563049316, 0.511158287525177, 4.285273860205052e-07, 0.429241806268692, 0.5707882642745972, -0.039948221296072006, 0.45182740688323975, 0.6333755850791931, -0.05813398212194443, 0.47909408807754517, 0.6880239844322205, -0.0657867044210434, 0.4941249489784241, 0.7385120391845703, -0.07079460471868515, 0.5031628608703613, 0.5304993987083435, -0.06566063314676285, 0.5135619044303894, 0.6260226368904114, -0.08682087808847427, 0.5063431262969971, 0.688995361328125, -0.09575366973876953, 0.49574336409568787, 0.7307345867156982, -0.10000916570425034, 0.5265159010887146, 0.5321849584579468, -0.04865622892975807, 0.5326829552650452, 0.6500223278999329, -0.06974048167467117, 0.5169138312339783, 0.7071985602378845, -0.07560660690069199, 0.5037569403648376, 0.7400107979774475, -0.07830283045768738, 0.539082944393158, 0.5502912402153015, -0.032509706914424896, 0.5467847585678101, 0.653480052947998, -0.05168496444821358, 0.5294792056083679, 0.7045985460281372, -0.05506644770503044, 0.514553964138031, 0.7356471419334412, -0.05535191670060158, 0.5443589091300964, 0.5701261758804321, -0.018398256972432137, 0.5500418543815613, 0.6458538174629211, -0.034943945705890656, 0.5355069637298584, 0.6906538605690002, -0.039736758917570114, 0.5214045643806458, 0.7191845774650574, -0.04074721410870552]"
7,[],"[0.3983049988746643, 0.451539009809494, 3.3377352792740567e-07, 0.3848349452018738, 0.5163459777832031, -0.032967399805784225, 0.40514838695526123, 0.5899756550788879, -0.04709787294268608, 0.4323917329311371, 0.6555187702178955, -0.0533326156437397, 0.44510000944137573, 0.7183797955513, -0.05654863268136978, 0.46977221965789795, 0.5210152268409729, -0.04548468813300133, 0.4765430688858032, 0.6301223039627075, -0.06148902326822281, 0.46297600865364075, 0.6876317858695984, -0.06821407377719879, 0.44792741537094116, 0.7203171253204346, -0.07087236642837524, 0.49626290798187256, 0.5125088095664978, -0.03090493567287922, 0.5040217041969299, 0.6349847316741943, -0.04666750878095627, 0.4865545332431793, 0.6910611391067505, -0.05154256522655487, 0.46977338194847107, 0.7240215539932251, -0.053415410220623016, 0.5088870525360107, 0.5212214589118958, -0.017760582268238068, 0.5163660645484924, 0.6357543468475342, -0.03342132270336151, 0.4973610043525696, 0.6886094212532043, -0.03887267783284187, 0.47900494933128357, 0.721205472946167, -0.040482960641384125, 0.5130376219749451, 0.5404770970344543, -0.006311798468232155, 0.5184422135353088, 0.6260938048362732, -0.019733069464564323, 0.5039068460464478, 0.6709378361701965, -0.025634625926613808, 0.4882493019104004, 0.6992298364639282, -0.027743477374315262]"
8,[],"[0.3957436978816986, 0.47635796666145325, 3.158086201437982e-07, 0.4000081419944763, 0.5458021759986877, -0.014051846228539944, 0.4262082278728485, 0.6139681935310364, -0.022863471880555153, 0.4486806392669678, 0.6713531613349915, -0.02983143739402294, 0.45845991373062134, 0.7241813540458679, -0.035946011543273926, 0.4843478500843048, 0.5666333436965942, -0.02105156145989895, 0.5036073327064514, 0.6537519693374634, -0.03627125546336174, 0.497919499874115, 0.7084258794784546, -0.04568096250295639, 0.4870081841945648, 0.7437509894371033, -0.05083972588181496, 0.49578189849853516, 0.5421457886695862, -0.02046795003116131, 0.5189566612243652, 0.6394343376159668, -0.03237223997712135, 0.5127575993537903, 0.6971378326416016, -0.03788752481341362, 0.503081202507019, 0.7392637133598328, -0.04128431901335716, 0.49505615234375, 0.525589644908905, -0.02136441506445408, 0.5143141150474548, 0.6169601678848267, -0.0331076942384243, 0.5088975429534912, 0.673871636390686, -0.035992320626974106, 0.4996798038482666, 0.7169862985610962, -0.03735779970884323, 0.4861687421798706, 0.5141871571540833, -0.02316088043153286, 0.4992855191230774, 0.5749351382255554, -0.032203108072280884, 0.49505916237831116, 0.6232351660728455, -0.03315227851271629, 0.48701632022857666, 0.6599759459495544, -0.03293658047914505]"
9,"[0.43619468808174133, 0.5247368812561035, 1.4579315177343233e-07, 0.44615089893341064, 0.5940910577774048, -0.013821139931678772, 0.47360023856163025, 0.6559695601463318, -0.02597205899655819, 0.49639225006103516, 0.7069157361984253, -0.03681950271129608, 0.5146339535713196, 0.7440258264541626, -0.04742077365517616, 0.5379427671432495, 0.6038416028022766, -0.030047429725527763, 0.5475195646286011, 0.6948089003562927, -0.05063332989811897, 0.5344061851501465, 0.7350804805755615, -0.06377401202917099, 0.5218823552131653, 0.751403272151947, -0.07127832621335983, 0.5454870462417603, 0.5712714195251465, -0.03296611085534096, 0.5593475103378296, 0.6719669699668884, -0.051115162670612335, 0.5461993217468262, 0.7162598967552185, -0.05972548574209213, 0.5344080924987793, 0.7380169034004211, -0.06533972173929214, 0.5418040752410889, 0.5443046689033508, -0.03715077042579651, 0.5531607270240784, 0.6341630220413208, -0.054969824850559235, 0.5414397120475769, 0.6809215545654297, -0.05997413396835327, 0.5306717753410339, 0.7091612219810486, -0.06257320195436478, 0.5307501554489136, 0.5225144624710083, -0.04188127815723419, 0.5477725863456726, 0.5655969977378845, -0.05653838440775871, 0.5467473864555359, 0.6006855964660645, -0.060045842081308365, 0.5421941876411438, 0.625736653804779, -0.06156182289123535]",[]
