,Left,Right
0,[],"[0.4217483401298523, 0.33000102639198303, -5.062277637080115e-07, 0.39443427324295044, 0.45478543639183044, 0.04599672555923462, 0.39000242948532104, 0.5477577447891235, 0.07185515016317368, 0.402875691652298, 0.5982792973518372, 0.09088242053985596, 0.4219680428504944, 0.6010172963142395, 0.1090434119105339, 0.4996389150619507, 0.6101182699203491, 0.061141014099121094, 0.4631083607673645, 0.6496078372001648, 0.09042917191982269, 0.43054649233818054, 0.6224706172943115, 0.10080047696828842, 0.4109967052936554, 0.582440972328186, 0.10498923808336258, 0.5389907360076904, 0.5679673552513123, 0.049340009689331055, 0.5002501010894775, 0.614523708820343, 0.09055417031049728, 0.46710866689682007, 0.5829143524169922, 0.09550077468156815, 0.45052459836006165, 0.5485573410987854, 0.08936773240566254, 0.55961674451828, 0.51628178358078, 0.04265166446566582, 0.5310192704200745, 0.5706541538238525, 0.08105110377073288, 0.4979286789894104, 0.5555468201637268, 0.08554773032665253, 0.4771583378314972, 0.5246610045433044, 0.07767612487077713, 0.5702272057533264, 0.46368953585624695, 0.03996192291378975, 0.5448548197746277, 0.5043606162071228, 0.07016013562679291, 0.516371488571167, 0.4979654550552368, 0.08282815665006638, 0.49721431732177734, 0.47146475315093994, 0.08704575151205063]"
1,"[0.4404335021972656, 0.35802680253982544, -6.53390657134878e-07, 0.5076466798782349, 0.32577720284461975, 0.08339576423168182, 0.547228217124939, 0.36500152945518494, 0.14006909728050232, 0.5577114820480347, 0.42097824811935425, 0.184367373585701, 0.5504745244979858, 0.47156959772109985, 0.2282252013683319, 0.5918657183647156, 0.5003117918968201, 0.1418362259864807, 0.5786853432655334, 0.5688530802726746, 0.20871983468532562, 0.5527380704879761, 0.5611047744750977, 0.2441219985485077, 0.5400051474571228, 0.5391825437545776, 0.2635231912136078, 0.5579314827919006, 0.5662558078765869, 0.12235252559185028, 0.55528324842453, 0.6254072189331055, 0.19816954433918, 0.5309118032455444, 0.6074116230010986, 0.22484976053237915, 0.5163471698760986, 0.5791540145874023, 0.2338707149028778, 0.5186768174171448, 0.6056725382804871, 0.10740262269973755, 0.5136521458625793, 0.6478293538093567, 0.17675644159317017, 0.4961053431034088, 0.6204901933670044, 0.19151097536087036, 0.4847402274608612, 0.5970615148544312, 0.1881328821182251, 0.4742792844772339, 0.628932535648346, 0.09783292561769485, 0.46212032437324524, 0.6326407790184021, 0.15466155111789703, 0.4507225751876831, 0.5990541577339172, 0.17335490882396698, 0.4470706880092621, 0.5679575800895691, 0.17807869613170624]",[]
2,"[0.42035621404647827, 0.37692466378211975, -7.891791824476968e-07, 0.4870087206363678, 0.35173648595809937, 0.09872230887413025, 0.5255858302116394, 0.38904261589050293, 0.1656872183084488, 0.5416920185089111, 0.4365762770175934, 0.2210257649421692, 0.5431786775588989, 0.48393046855926514, 0.2752067744731903, 0.5875847935676575, 0.5075060725212097, 0.15304669737815857, 0.5729989409446716, 0.5181085467338562, 0.2385897934436798, 0.5464972257614136, 0.5010932683944702, 0.28406885266304016, 0.5338624119758606, 0.4891063868999481, 0.3081698715686798, 0.5551677942276001, 0.5749635696411133, 0.1361626535654068, 0.5480406880378723, 0.5779663324356079, 0.23371480405330658, 0.5210168361663818, 0.5504378080368042, 0.2664939761161804, 0.5067750215530396, 0.5255305171012878, 0.2752808928489685, 0.5143719911575317, 0.613875150680542, 0.12757238745689392, 0.5074606537818909, 0.6038678288459778, 0.21718786656856537, 0.48889583349227905, 0.5667304992675781, 0.2319660186767578, 0.4756733775138855, 0.5486567616462708, 0.2229802906513214, 0.4721786379814148, 0.6400588750839233, 0.12630629539489746, 0.4588223993778229, 0.6111372113227844, 0.19626259803771973, 0.44764944911003113, 0.5733411312103271, 0.21533383429050446, 0.44414377212524414, 0.5506293177604675, 0.2174152135848999]",[]
3,"[0.47197702527046204, 0.36594241857528687, -7.734774385426135e-07, 0.5387334823608398, 0.36127448081970215, 0.055870894342660904, 0.5702406764030457, 0.41668498516082764, 0.08494547009468079, 0.5782334208488464, 0.47595474123954773, 0.10435806959867477, 0.5642197728157043, 0.5241888761520386, 0.12254761904478073, 0.604641854763031, 0.5233438611030579, 0.07369767874479294, 0.5819079875946045, 0.552613377571106, 0.11324016749858856, 0.5552927851676941, 0.5279987454414368, 0.13536617159843445, 0.5410445928573608, 0.501775324344635, 0.14547255635261536, 0.5766284465789795, 0.5852270722389221, 0.05397878214716911, 0.5454740524291992, 0.5973779559135437, 0.10045656561851501, 0.5203872919082642, 0.5572681427001953, 0.11045639216899872, 0.5109505653381348, 0.5251719951629639, 0.1074993759393692, 0.5402758121490479, 0.6219804286956787, 0.039765071123838425, 0.5103408098220825, 0.6233983635902405, 0.08055435866117477, 0.4911609888076782, 0.5860099196434021, 0.08469318598508835, 0.4822048842906952, 0.5551839470863342, 0.07514365762472153, 0.49980810284614563, 0.6435377597808838, 0.02974359504878521, 0.4710645377635956, 0.643803060054779, 0.06347683817148209, 0.4568943977355957, 0.6033169627189636, 0.07508393377065659, 0.45330876111984253, 0.5643746256828308, 0.07629953324794769]",[]
4,"[0.4562050700187683, 0.36287030577659607, -8.813432259557885e-07, 0.5227053165435791, 0.34199410676956177, 0.06416137516498566, 0.5546291470527649, 0.4009561538696289, 0.10488270223140717, 0.5601159334182739, 0.46373122930526733, 0.13548767566680908, 0.5484607815742493, 0.5074965357780457, 0.16331450641155243, 0.591493546962738, 0.518593430519104, 0.10269615799188614, 0.5596441626548767, 0.5377269387245178, 0.15285354852676392, 0.5322324633598328, 0.5167558193206787, 0.17433446645736694, 0.5166755318641663, 0.49349844455718994, 0.18295574188232422, 0.55983966588974, 0.5829158425331116, 0.08431818336248398, 0.5269075632095337, 0.5877659916877747, 0.14482365548610687, 0.5013331174850464, 0.5483105778694153, 0.1537638008594513, 0.49138590693473816, 0.5142003893852234, 0.14795079827308655, 0.5203331112861633, 0.6168851852416992, 0.07128347456455231, 0.4890103042125702, 0.6079529523849487, 0.12295180559158325, 0.4710320234298706, 0.5718539357185364, 0.12144801020622253, 0.462017685174942, 0.5452994108200073, 0.10591413080692291, 0.47830379009246826, 0.6394837498664856, 0.06319399923086166, 0.44596564769744873, 0.6149457097053528, 0.10064812004566193, 0.43291690945625305, 0.5768627524375916, 0.10729663074016571, 0.4306297302246094, 0.5416126251220703, 0.10397636890411377]",[]
5,[],"[0.47432222962379456, 0.3607947528362274, -3.108811199581396e-07, 0.4315987527370453, 0.4466868042945862, 0.04797111079096794, 0.417452335357666, 0.5049864053726196, 0.07954607158899307, 0.41303831338882446, 0.5245938301086426, 0.10300467163324356, 0.40355226397514343, 0.5013165473937988, 0.12469325214624405, 0.5207739472389221, 0.6058217287063599, 0.0934409573674202, 0.5236600041389465, 0.6103368401527405, 0.13452191650867462, 0.5093697905540466, 0.5752978324890137, 0.1497626006603241, 0.49602413177490234, 0.5410433411598206, 0.15615889430046082, 0.5652880072593689, 0.5671947002410889, 0.08272717893123627, 0.5611093044281006, 0.5801624059677124, 0.1324775069952011, 0.5398412346839905, 0.5432516932487488, 0.1409386247396469, 0.523588240146637, 0.5116108655929565, 0.13866184651851654, 0.5954702496528625, 0.5087468028068542, 0.07488405704498291, 0.5895573496818542, 0.5256204605102539, 0.11744557321071625, 0.5698131918907166, 0.5042664408683777, 0.11940022557973862, 0.5500483512878418, 0.4781782329082489, 0.11238022893667221, 0.6102752089500427, 0.4411168694496155, 0.07038523256778717, 0.6050005555152893, 0.453155517578125, 0.10590868443250656, 0.5853668451309204, 0.43631884455680847, 0.11871974170207977, 0.5685091614723206, 0.41184958815574646, 0.12305793166160583]"
6,[],"[0.5005983710289001, 0.44432640075683594, -2.448003044719371e-07, 0.48077821731567383, 0.5454052686691284, 0.024103406816720963, 0.49455446004867554, 0.6149081587791443, 0.04094382002949715, 0.5160666704177856, 0.6450144648551941, 0.05439790338277817, 0.5305426120758057, 0.6359890103340149, 0.06743914633989334, 0.5649275183677673, 0.6703400015830994, 0.03704454377293587, 0.5874245762825012, 0.6903167366981506, 0.053714822977781296, 0.5752707719802856, 0.6622439622879028, 0.06096808984875679, 0.5581403374671936, 0.6349965929985046, 0.06521838158369064, 0.6006651520729065, 0.6241040825843811, 0.03177206590771675, 0.6181597113609314, 0.6392140984535217, 0.05294620618224144, 0.6048914194107056, 0.6138515472412109, 0.05729680135846138, 0.5861604809761047, 0.5917965769767761, 0.057535555213689804, 0.6233999133110046, 0.5626195073127747, 0.028796691447496414, 0.6370699405670166, 0.5803545713424683, 0.048735361546278, 0.6232631802558899, 0.5632518529891968, 0.050732895731925964, 0.6058155298233032, 0.5445586442947388, 0.04793470352888107, 0.634016215801239, 0.4961046278476715, 0.028117064386606216, 0.6422204375267029, 0.5056397318840027, 0.045694779604673386, 0.6301342248916626, 0.4923586845397949, 0.05338938161730766, 0.614732563495636, 0.47821947932243347, 0.05754604563117027]"
7,[],"[0.49323609471321106, 0.44578737020492554, -1.960413129609151e-07, 0.48161423206329346, 0.558607816696167, 0.018064461648464203, 0.5080082416534424, 0.6339607834815979, 0.026675589382648468, 0.541811466217041, 0.6653749942779541, 0.03405607491731644, 0.5650012493133545, 0.6548115015029907, 0.04170502349734306, 0.5805466771125793, 0.6442490220069885, 0.00934799574315548, 0.596102774143219, 0.7025954127311707, 0.01964612491428852, 0.5720070600509644, 0.6834371089935303, 0.025836238637566566, 0.5535770654678345, 0.6559780836105347, 0.029531624168157578, 0.6127663850784302, 0.5910211801528931, 0.006468954496085644, 0.6160728931427002, 0.6488791108131409, 0.025317609310150146, 0.59207683801651, 0.6371411085128784, 0.03411780297756195, 0.5736874938011169, 0.6166905760765076, 0.035470955073833466, 0.6290074586868286, 0.5342426896095276, 0.006864065770059824, 0.6279395222663879, 0.5924890041351318, 0.02846289984881878, 0.6041749119758606, 0.5908286571502686, 0.03714410215616226, 0.5845978856086731, 0.5695074796676636, 0.03643849119544029, 0.6342018842697144, 0.4839572310447693, 0.008841765113174915, 0.6260272264480591, 0.534542441368103, 0.02952663227915764, 0.604220986366272, 0.5352058410644531, 0.04121542349457741, 0.5860359072685242, 0.5167060494422913, 0.0465523786842823]"
8,"[0.40358683466911316, 0.3397729992866516, 1.3922311836722656e-07, 0.3937171697616577, 0.38001424074172974, 0.055930256843566895, 0.4010508060455322, 0.4008040726184845, 0.1123022511601448, 0.41041478514671326, 0.43402862548828125, 0.15740713477134705, 0.42391061782836914, 0.4723482131958008, 0.2041069120168686, 0.42174920439720154, 0.4720233082771301, 0.17216266691684723, 0.4236076772212982, 0.5233965516090393, 0.22693195939064026, 0.4159466028213501, 0.553189218044281, 0.2453991323709488, 0.410080224275589, 0.5757732391357422, 0.2565520703792572, 0.4397016167640686, 0.4758381247520447, 0.16575782001018524, 0.4415377080440521, 0.5568829774856567, 0.2226875275373459, 0.4335136413574219, 0.5955206751823425, 0.23070143163204193, 0.41830968856811523, 0.6238055229187012, 0.2332330048084259, 0.45767471194267273, 0.4774820804595947, 0.15587344765663147, 0.45838963985443115, 0.5506157875061035, 0.2035844326019287, 0.45004093647003174, 0.5816696882247925, 0.2103758603334427, 0.4299561381340027, 0.6039010882377625, 0.21148620545864105, 0.4710848927497864, 0.46995583176612854, 0.14773133397102356, 0.4763619303703308, 0.5222476124763489, 0.19317513704299927, 0.4741048812866211, 0.5437442064285278, 0.2105863392353058, 0.46650227904319763, 0.5703782439231873, 0.21872204542160034]",[]
9,[],"[0.4263949394226074, 0.3840705156326294, -1.2804397897525632e-07, 0.36532777547836304, 0.45577946305274963, 0.0725325420498848, 0.3358967900276184, 0.47298991680145264, 0.13897617161273956, 0.3306850790977478, 0.49302998185157776, 0.19054627418518066, 0.3474503755569458, 0.5122783184051514, 0.24422478675842285, 0.3935309946537018, 0.4946177899837494, 0.203889861702919, 0.39229387044906616, 0.523951530456543, 0.26171875, 0.38906359672546387, 0.529165506362915, 0.28365886211395264, 0.3865578770637512, 0.5171643495559692, 0.3013394773006439, 0.44138315320014954, 0.470319002866745, 0.1931651383638382, 0.44793131947517395, 0.5324625372886658, 0.2592613101005554, 0.4366786479949951, 0.5530495047569275, 0.2765202522277832, 0.4205085337162018, 0.5595241785049438, 0.2892332971096039, 0.48415812849998474, 0.4546712040901184, 0.17851699888706207, 0.49047988653182983, 0.5126314163208008, 0.23337894678115845, 0.48065996170043945, 0.54448401927948, 0.2501380145549774, 0.46248728036880493, 0.5740060806274414, 0.26151689887046814, 0.520941436290741, 0.43135276436805725, 0.16660656034946442, 0.5285876989364624, 0.4824141263961792, 0.2141561508178711, 0.5252231955528259, 0.5124139785766602, 0.23780889809131622, 0.5191817879676819, 0.5510437488555908, 0.2541258633136749]"
