,Left,Right
0,"[0.2909662127494812, 0.4695016145706177, 4.4015530420438154e-07, 0.3406755030155182, 0.40833890438079834, -0.03317031264305115, 0.4003250002861023, 0.43701744079589844, -0.04575174301862717, 0.4422931969165802, 0.5143129229545593, -0.05111820995807648, 0.4707419276237488, 0.5784151554107666, -0.05467754602432251, 0.4182303845882416, 0.5716004967689514, -0.030171023681759834, 0.46853429079055786, 0.6610672473907471, -0.04311131313443184, 0.5019387602806091, 0.7269303798675537, -0.053650837391614914, 0.5237685441970825, 0.7762653827667236, -0.059512659907341, 0.4011100232601166, 0.6291616559028625, -0.017744990065693855, 0.45566225051879883, 0.7273932695388794, -0.02593654952943325, 0.4968796968460083, 0.7907168865203857, -0.033991262316703796, 0.528954803943634, 0.8430490493774414, -0.03962547332048416, 0.384257435798645, 0.6644635200500488, -0.007821283303201199, 0.4364352822303772, 0.7579077482223511, -0.015913842245936394, 0.4758017361164093, 0.812218427658081, -0.020858632400631905, 0.5080100297927856, 0.8562605381011963, -0.023657023906707764, 0.3707089424133301, 0.6800548434257507, -0.000539577507879585, 0.40989214181900024, 0.7590725421905518, -0.007281209342181683, 0.43963298201560974, 0.8060069680213928, -0.009056643582880497, 0.465949147939682, 0.8453091382980347, -0.009435075335204601]","[0.36098676919937134, 0.6829053163528442, 1.6878861686109303e-07, 0.4115043878555298, 0.6306658387184143, -0.018040956929326057, 0.46785664558410645, 0.6741220355033875, -0.01918736658990383, 0.5057142376899719, 0.7400370836257935, -0.014944525435566902, 0.5318224430084229, 0.7687991261482239, -0.008695866912603378, 0.46512654423713684, 0.7285656929016113, -0.013527919538319111, 0.5140802264213562, 0.7989457249641418, -0.009865165688097477, 0.5373014807701111, 0.8393527865409851, -0.0037462564650923014, 0.5528042912483215, 0.8664350509643555, 0.0017641282174736261, 0.44797706604003906, 0.7789996266365051, -0.0013692809734493494, 0.49964216351509094, 0.8410080075263977, 0.003580875229090452, 0.5298566818237305, 0.8645675778388977, 0.009810947813093662, 0.5534358620643616, 0.882041871547699, 0.01529946830123663, 0.4326278567314148, 0.8114264011383057, 0.009753154590725899, 0.48218274116516113, 0.8627537488937378, 0.013857129029929638, 0.5109760761260986, 0.8785756826400757, 0.019154420122504234, 0.5308030247688293, 0.8883897662162781, 0.02371055819094181, 0.420498788356781, 0.8318121433258057, 0.019575733691453934, 0.4624810814857483, 0.8644390106201172, 0.025781454518437386, 0.486423134803772, 0.8740782737731934, 0.03191492706537247, 0.503301203250885, 0.8766880035400391, 0.036998797208070755]"
1,"[0.2894483208656311, 0.4673757255077362, 4.340752468579012e-07, 0.33885908126831055, 0.407120943069458, -0.03348083794116974, 0.39871418476104736, 0.434445858001709, -0.04750650003552437, 0.44089460372924805, 0.5102555155754089, -0.05452275648713112, 0.4691757559776306, 0.5739192962646484, -0.0600014291703701, 0.4166892468929291, 0.5693119764328003, -0.034150440245866776, 0.4670712947845459, 0.6569908261299133, -0.05018233880400658, 0.5004916787147522, 0.7226513028144836, -0.06287487596273422, 0.5223212242126465, 0.7720760107040405, -0.07011066377162933, 0.39979344606399536, 0.6267282366752625, -0.0231449194252491, 0.4549207389354706, 0.7244197130203247, -0.034832537174224854, 0.49684953689575195, 0.7894700169563293, -0.04499635100364685, 0.5295082330703735, 0.8426631093025208, -0.051927585154771805, 0.3831837773323059, 0.6622496843338013, -0.01453566737473011, 0.4362276494503021, 0.7561708092689514, -0.025321127846837044, 0.4760437607765198, 0.8127278089523315, -0.03137274831533432, 0.5084583759307861, 0.8584924340248108, -0.03474568575620651, 0.3692423403263092, 0.6782096028327942, -0.008550107479095459, 0.4090249836444855, 0.7580097317695618, -0.017461378127336502, 0.4390908479690552, 0.806770920753479, -0.020038660615682602, 0.46541327238082886, 0.847909688949585, -0.02082687057554722]","[0.36117807030677795, 0.6823607683181763, 1.5971481559517997e-07, 0.41143500804901123, 0.6303897500038147, -0.01813082955777645, 0.4677959084510803, 0.6738193035125732, -0.020061705261468887, 0.5055540204048157, 0.7400156259536743, -0.01675674319267273, 0.5318138599395752, 0.7689945697784424, -0.01164387259632349, 0.46340373158454895, 0.7285242676734924, -0.016528934240341187, 0.5125885605812073, 0.7994584441184998, -0.014633363112807274, 0.5364176034927368, 0.8399239778518677, -0.009462975896894932, 0.5523804426193237, 0.867368757724762, -0.0044974349439144135, 0.446491003036499, 0.7785670757293701, -0.005224657244980335, 0.49878644943237305, 0.8412975668907166, -0.002028839662671089, 0.5299766063690186, 0.8649879693984985, 0.0034033902920782566, 0.5537732839584351, 0.8824605345726013, 0.008371581323444843, 0.43130820989608765, 0.8113477230072021, 0.0051488555036485195, 0.4818173944950104, 0.8636661171913147, 0.007688517682254314, 0.5113563537597656, 0.8798425793647766, 0.011814849451184273, 0.5316073894500732, 0.8894968628883362, 0.015589073300361633, 0.4199581444263458, 0.8315119743347168, 0.014281533658504486, 0.46207624673843384, 0.8647521138191223, 0.018857473507523537, 0.4866928458213806, 0.8745255470275879, 0.023851001635193825, 0.5040294528007507, 0.8773319721221924, 0.028164345771074295]"
2,"[0.2896636724472046, 0.4700022339820862, 4.791488663613563e-07, 0.3387703001499176, 0.4077141284942627, -0.03346072509884834, 0.3988167941570282, 0.4385913014411926, -0.04584912210702896, 0.4414529502391815, 0.5175092816352844, -0.05043652281165123, 0.47203612327575684, 0.5811622142791748, -0.053225480020046234, 0.4174236059188843, 0.5729088187217712, -0.03202291950583458, 0.46907585859298706, 0.6691312789916992, -0.04380074143409729, 0.5034843683242798, 0.7381112575531006, -0.05337371304631233, 0.5264376401901245, 0.7896266579627991, -0.058573778718709946, 0.40009257197380066, 0.6276715397834778, -0.018270287662744522, 0.4556410610675812, 0.7300626039505005, -0.025451118126511574, 0.49794426560401917, 0.7935649156570435, -0.03270459175109863, 0.5309128761291504, 0.84532630443573, -0.037799570709466934, 0.3829174339771271, 0.6600399613380432, -0.006660562939941883, 0.43586239218711853, 0.7544954419136047, -0.012932720594108105, 0.4761742353439331, 0.8075024485588074, -0.016546471044421196, 0.5089037418365479, 0.8501569032669067, -0.018675195053219795, 0.3694564700126648, 0.6716892123222351, 0.002330997958779335, 0.40927183628082275, 0.7491278648376465, -0.0025672814808785915, 0.43944182991981506, 0.7949352264404297, -0.0031013377010822296, 0.4656945765018463, 0.8328330516815186, -0.0027416825760155916]","[0.36105528473854065, 0.6789589524269104, 2.191315786603809e-07, 0.41337162256240845, 0.6328187584877014, -0.01780257746577263, 0.4705120921134949, 0.6824542880058289, -0.0148709611967206, 0.506110668182373, 0.7445470094680786, -0.005660568363964558, 0.5328997373580933, 0.7702702283859253, 0.0059522767551243305, 0.46694818139076233, 0.7494369745254517, -0.0004412943380884826, 0.5147144198417664, 0.8180083632469177, 0.015302971936762333, 0.5390217304229736, 0.8540670871734619, 0.027362704277038574, 0.5558651089668274, 0.8764113187789917, 0.03607313334941864, 0.44769087433815, 0.7926706075668335, 0.017055517062544823, 0.4993096888065338, 0.8522143363952637, 0.03363223373889923, 0.5301017761230469, 0.8708061575889587, 0.04422270134091377, 0.5530312061309814, 0.8836565017700195, 0.05224712938070297, 0.4322916269302368, 0.8155504465103149, 0.033735938370227814, 0.4799628257751465, 0.8655518293380737, 0.04864055663347244, 0.508996307849884, 0.8785638213157654, 0.05792919173836708, 0.5273580551147461, 0.8860903978347778, 0.0643724799156189, 0.41985347867012024, 0.830027163028717, 0.0489509217441082, 0.4610081911087036, 0.8620253205299377, 0.06465005874633789, 0.4854753017425537, 0.8704294562339783, 0.07506614923477173, 0.5021390318870544, 0.8720009922981262, 0.08250616490840912]"
3,"[0.3858553171157837, 0.577739953994751, -4.229719152704092e-08, 0.45112407207489014, 0.5502108335494995, -0.00038875258178450167, 0.50699383020401, 0.5837997794151306, -0.0002678720629774034, 0.542359471321106, 0.641923189163208, 0.0010861915070563555, 0.5561516880989075, 0.6959107518196106, 0.004279466811567545, 0.501806378364563, 0.6911861896514893, -0.007640366442501545, 0.5491705536842346, 0.7778981924057007, -0.009510340169072151, 0.57381671667099, 0.8189956545829773, -0.007937617599964142, 0.5929819345474243, 0.84734708070755, -0.005393718369305134, 0.4725274443626404, 0.7352921366691589, -0.008127436973154545, 0.5208410024642944, 0.8323347568511963, -0.0067933532409369946, 0.548668384552002, 0.8665653467178345, -0.0007704445160925388, 0.5676752328872681, 0.8867360949516296, 0.0043182373046875, 0.443067342042923, 0.7617931962013245, -0.008089861832559109, 0.4850478172302246, 0.8511672019958496, -0.006086554378271103, 0.510251522064209, 0.8801285028457642, 0.001995217753574252, 0.5267028212547302, 0.891497790813446, 0.008804256096482277, 0.41551342606544495, 0.7727820873260498, -0.00805628951638937, 0.4448407292366028, 0.850360631942749, -0.0018494913820177317, 0.4665044844150543, 0.8738917112350464, 0.008576515130698681, 0.48248714208602905, 0.878852903842926, 0.01737607829272747]",[]
4,"[0.37482237815856934, 0.5021617412567139, 5.127605007260172e-08, 0.437144011259079, 0.47247350215911865, -0.00827504601329565, 0.49823978543281555, 0.5036471486091614, -0.012916268780827522, 0.543694019317627, 0.5689840912818909, -0.01586572453379631, 0.5668914914131165, 0.6330555081367493, -0.018048293888568878, 0.4928826093673706, 0.6063487529754639, -0.013846728019416332, 0.5410184860229492, 0.6780582666397095, -0.021314306184649467, 0.5690599083900452, 0.7056841850280762, -0.025196058675646782, 0.590568482875824, 0.7196945548057556, -0.027695298194885254, 0.46708017587661743, 0.6544788479804993, -0.015712551772594452, 0.5190147161483765, 0.7284337282180786, -0.019542785361409187, 0.5508784055709839, 0.7552812099456787, -0.022884249687194824, 0.5748693346977234, 0.7672519683837891, -0.025879880413413048, 0.4382571876049042, 0.6852667927742004, -0.017982255667448044, 0.48518022894859314, 0.7580500841140747, -0.023797184228897095, 0.5156908631324768, 0.7905257344245911, -0.027430972084403038, 0.539933443069458, 0.8102753758430481, -0.03051064722239971, 0.40885013341903687, 0.7031278014183044, -0.02041911520063877, 0.4341874122619629, 0.7707939147949219, -0.027268458157777786, 0.4542495310306549, 0.8106213808059692, -0.029294298961758614, 0.47232452034950256, 0.8433555364608765, -0.03003697842359543]",[]
5,"[0.36698171496391296, 0.5000801086425781, 3.158758374866011e-07, 0.42963171005249023, 0.44339853525161743, -0.015616098418831825, 0.4902966618537903, 0.47160065174102783, -0.02343672700226307, 0.5352647304534912, 0.5460922718048096, -0.027448926120996475, 0.5644716024398804, 0.6051795482635498, -0.031099071726202965, 0.49125802516937256, 0.5898309350013733, -0.02644226886332035, 0.5440228581428528, 0.6709083318710327, -0.03641671687364578, 0.5738924145698547, 0.714504599571228, -0.04190268740057945, 0.5945745706558228, 0.7493000626564026, -0.04515443742275238, 0.4672969579696655, 0.6442917585372925, -0.0254688523709774, 0.5260578989982605, 0.7308838367462158, -0.032420817762613297, 0.5620660185813904, 0.7851043343544006, -0.03823547810316086, 0.58494633436203, 0.8284187912940979, -0.0427851527929306, 0.44030699133872986, 0.6789157390594482, -0.025047840550541878, 0.4946132004261017, 0.7644988298416138, -0.03370518982410431, 0.5282681584358215, 0.8192398548126221, -0.042168788611888885, 0.5515034198760986, 0.8635773658752441, -0.04839659854769707, 0.4120858609676361, 0.7011373043060303, -0.025074629113078117, 0.44483545422554016, 0.7728123068809509, -0.03499266132712364, 0.46745893359184265, 0.8177756667137146, -0.04034588113427162, 0.4860052466392517, 0.8573715090751648, -0.043281130492687225]",[]
6,"[0.3955550789833069, 0.5535079836845398, -1.5695000854520913e-07, 0.459382027387619, 0.5111149549484253, 0.015188773162662983, 0.5152312517166138, 0.5554864406585693, 0.026147887110710144, 0.5510535836219788, 0.6224596500396729, 0.03633149713277817, 0.5665764808654785, 0.6772977709770203, 0.048807915300130844, 0.5324461460113525, 0.6621786952018738, 0.017677824944257736, 0.5739572644233704, 0.7498573660850525, 0.026074117049574852, 0.5917752385139465, 0.7860074043273926, 0.035622794181108475, 0.6023132801055908, 0.809698224067688, 0.04408278688788414, 0.5049923062324524, 0.7232237458229065, 0.01443034689873457, 0.5516706705093384, 0.8317410349845886, 0.022238899022340775, 0.5746920704841614, 0.8678815364837646, 0.03298309072852135, 0.5904828310012817, 0.8914599418640137, 0.042707014828920364, 0.47328412532806396, 0.7608901262283325, 0.012579922564327717, 0.5115254521369934, 0.862869381904602, 0.018947210162878036, 0.534858226776123, 0.8920607566833496, 0.031096821650862694, 0.5486906170845032, 0.9034285545349121, 0.04198981076478958, 0.4364117383956909, 0.7795333862304688, 0.012372739613056183, 0.4674268662929535, 0.8649782538414001, 0.027113188058137894, 0.4875747561454773, 0.8899155855178833, 0.04375294968485832, 0.5012375116348267, 0.8943743705749512, 0.05724869668483734]",[]
7,"[0.39152395725250244, 0.6124000549316406, -6.161877230681512e-09, 0.4647091329097748, 0.583203911781311, -0.004594660829752684, 0.522484540939331, 0.627303957939148, -0.0037591459695249796, 0.5569361448287964, 0.7040181756019592, 0.00011399327195249498, 0.5782498717308044, 0.7607492804527283, 0.006656454410403967, 0.5181277394294739, 0.7513696551322937, -0.001267518033273518, 0.5576407313346863, 0.8484998941421509, 0.008061659522354603, 0.5765129327774048, 0.8846737146377563, 0.01598346047103405, 0.5889508724212646, 0.904732882976532, 0.021853353828191757, 0.48361679911613464, 0.7924259901046753, 0.003988104406744242, 0.5293453931808472, 0.878591775894165, 0.01704391837120056, 0.5531376004219055, 0.8996670246124268, 0.027066495269536972, 0.5660663843154907, 0.9073348045349121, 0.03300352394580841, 0.45232048630714417, 0.812204122543335, 0.009579355828464031, 0.4950340688228607, 0.8847240209579468, 0.021725760772824287, 0.5190725326538086, 0.90378737449646, 0.031383540481328964, 0.5329313278198242, 0.9089003205299377, 0.03641470894217491, 0.4255681335926056, 0.8213504552841187, 0.01476135104894638, 0.4589393436908722, 0.8768811225891113, 0.027495350688695908, 0.48217475414276123, 0.8905907273292542, 0.03851822763681412, 0.4975927770137787, 0.8906541466712952, 0.04595876485109329]","[0.33244770765304565, 0.3851381242275238, 9.951279622555376e-08, 0.35412073135375977, 0.450484961271286, 0.0076676770113408566, 0.3966327905654907, 0.4911620318889618, 0.014799726195633411, 0.42875638604164124, 0.5138205885887146, 0.018534069880843163, 0.4520801901817322, 0.522098958492279, 0.0227169431746006, 0.4308466911315918, 0.4840352237224579, 0.025158556178212166, 0.46441590785980225, 0.5268661379814148, 0.027427786961197853, 0.480901300907135, 0.5510634779930115, 0.02508072555065155, 0.49547842144966125, 0.570283055305481, 0.02237803488969803, 0.4332104027271271, 0.4660261571407318, 0.01799394190311432, 0.46894046664237976, 0.5116565227508545, 0.021074583753943443, 0.48751842975616455, 0.5390512347221375, 0.018010864034295082, 0.502760648727417, 0.5633296370506287, 0.014945902861654758, 0.43177804350852966, 0.44607609510421753, 0.009503114968538284, 0.4668600559234619, 0.49218428134918213, 0.011125321500003338, 0.48366063833236694, 0.5216842293739319, 0.00969516858458519, 0.4964469075202942, 0.5452631711959839, 0.007585311308503151, 0.4271388351917267, 0.42659056186676025, 0.0008851661696098745, 0.4516742527484894, 0.46688732504844666, 0.0025047233793884516, 0.46524834632873535, 0.49498450756073, 0.004194606561213732, 0.47554653882980347, 0.5209245681762695, 0.004740272648632526]"
8,"[0.39467868208885193, 0.6052851676940918, -4.3862360854518556e-08, 0.45932647585868835, 0.5713274478912354, 0.0003690434095915407, 0.5167847275733948, 0.6102315187454224, 0.003862436395138502, 0.5516747236251831, 0.6743289232254028, 0.009381739422678947, 0.5718746781349182, 0.7233580350875854, 0.017261698842048645, 0.5154011249542236, 0.7189538478851318, -0.0007345359190367162, 0.5589364767074585, 0.801561713218689, 0.005916170310229063, 0.5776014924049377, 0.836164653301239, 0.013561862520873547, 0.5902049541473389, 0.8597432971000671, 0.01992940530180931, 0.48523086309432983, 0.7620716691017151, 0.0013247064780443907, 0.5304806232452393, 0.8516339063644409, 0.010837334208190441, 0.5510334372520447, 0.8782665729522705, 0.021151302382349968, 0.5620551705360413, 0.8946876525878906, 0.02879266068339348, 0.45438116788864136, 0.7862550616264343, 0.004010612145066261, 0.4930824041366577, 0.8704164028167725, 0.011843539774417877, 0.5136998295783997, 0.8942664265632629, 0.021095743402838707, 0.5242457985877991, 0.9053552746772766, 0.028031060472130775, 0.42560258507728577, 0.7982513904571533, 0.007017362397164106, 0.45616328716278076, 0.8689045906066895, 0.018128523603081703, 0.4761649966239929, 0.8867647647857666, 0.029799925163388252, 0.4883580803871155, 0.8890578150749207, 0.038823600858449936]",[]
9,"[0.38619980216026306, 0.5363940596580505, 1.5928485197491682e-07, 0.4475628435611725, 0.503500759601593, -0.007275826297700405, 0.505975604057312, 0.5391587615013123, -0.011747399345040321, 0.5456486940383911, 0.6121736764907837, -0.014033145271241665, 0.5707950592041016, 0.6710780262947083, -0.015277290716767311, 0.4977743625640869, 0.6269232630729675, -0.01609126664698124, 0.5429008603096008, 0.7023826837539673, -0.023122433573007584, 0.5667642951011658, 0.7388409376144409, -0.0251629538834095, 0.5841942429542542, 0.7647425532341003, -0.02539915405213833, 0.4718661308288574, 0.6782103776931763, -0.0172430407255888, 0.5200128555297852, 0.7747982740402222, -0.021007753908634186, 0.5485875010490417, 0.8282643556594849, -0.022120028734207153, 0.5679376125335693, 0.8682459592819214, -0.022795531898736954, 0.44378870725631714, 0.7108734846115112, -0.018431689590215683, 0.4871419072151184, 0.8024115562438965, -0.022980956360697746, 0.5139819383621216, 0.8527113199234009, -0.024393219500780106, 0.5327692031860352, 0.89079749584198, -0.02507743053138256, 0.4146447777748108, 0.7304602861404419, -0.019573530182242393, 0.4427700340747833, 0.8056522011756897, -0.022765109315514565, 0.4635601341724396, 0.8478043675422668, -0.021140998229384422, 0.48106539249420166, 0.880673885345459, -0.0189901664853096]",[]
